Compound.Name,pH2_adj.conc,pH2_sd,pH2_raw.conc,pH2_sd.raw,pH5_adj.conc,pH5_sd,pH5_raw.conc,pH5_sd.raw,pH8_adj.conc,pH8_sd,pH8_raw.conc,pH8_sd.raw
3OC10-HSL,0.01,0.014,0.013,1e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
3OC12-HSL,0.02,0.011,0.019,9e-03,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
3OHC12-HSL,0.04,0.022,0.045,2e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
4-hydroxybenzaldehyde,1.25,0.485,1.246,5e-01,0.00,0.000,0.000,0e+00,1.131,0.813,0.656,5e-01
Adenosyl Homocysteine,0.06,0.004,0.011,7e-04,0.00,0.000,0.000,0e+00,0.013,0.002,0.008,1e-03
Aminobenzoic Acid,0.97,0.066,0.174,1e-02,0.37,0.074,0.175,3e-02,0.000,0.000,0.000,0e+00
C12-HSL,0.10,0.052,0.064,3e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
C14-HSL,0.55,0.404,0.054,4e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
C8-HSL,0.01,0.013,0.016,1e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
Caffeine,0.54,0.077,0.193,3e-02,0.52,0.185,0.241,9e-02,0.279,0.090,0.167,5e-02
Camalexin,0.04,0.007,0.008,1e-03,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
HHQ,0.02,0.003,0.008,1e-03,0.00,0.000,0.000,0e+00,0.005,0.002,0.002,7e-04
Indole 3 carboxylic acid,0.43,0.065,0.523,8e-02,0.35,0.102,0.262,8e-02,0.386,0.206,0.093,5e-02
Methyl indole 3 carboxylate,0.04,0.014,0.040,1e-02,0.02,0.001,0.013,1e-03,0.000,0.000,0.000,0e+00
Phenylalanine,0.41,0.054,0.319,4e-02,0.46,0.185,0.300,1e-01,0.422,0.130,0.220,7e-02
Pyridoxal,2.53,0.399,0.379,6e-02,0.71,0.107,0.325,5e-02,1.812,0.040,0.272,6e-03
Sulfurol,0.11,0.022,0.072,1e-02,0.07,0.004,0.056,3e-03,0.072,0.007,0.045,4e-03
Tryptophan,0.40,0.079,0.132,3e-02,0.08,0.095,0.022,2e-02,0.427,0.103,0.175,4e-02
Vanillic Acid,0.63,0.312,0.380,2e-01,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
Vanillin,2.46,0.342,1.033,1e-01,0.82,0.104,0.881,1e-01,0.817,0.110,0.825,1e-01
Vitamin B3,0.92,0.121,0.522,7e-02,0.00,0.000,0.000,0e+00,0.000,0.000,0.000,0e+00
Vitamin B5,0.50,0.054,0.606,7e-02,1.08,0.224,0.323,7e-02,0.000,0.000,0.000,0e+00
Vitamin B6,0.10,0.017,0.083,1e-02,0.16,0.033,0.073,1e-02,0.167,0.037,0.032,7e-03
Adenosyl Methionine,0.00,0.000,0.000,0e+00,0.02,0.005,0.004,8e-04,0.000,0.000,0.000,0e+00
Arachidonic Acid,0.00,0.000,0.000,0e+00,0.00,0.000,0.000,0e+00,1.527,0.675,0.397,2e-01
IAA,0.00,0.000,0.000,0e+00,0.00,0.000,0.000,0e+00,0.093,0.012,0.100,1e-02
Pyridoxamine,0.00,0.000,0.000,0e+00,0.00,0.000,0.000,0e+00,0.235,0.038,0.042,7e-03
Retinoic Acid,0.00,0.000,0.000,0e+00,0.00,0.000,0.000,0e+00,0.792,0.104,0.396,5e-02
